product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0001,Candle Bloom 100,Laptop,Candle,2639.78,1526.71,2016,24,1.884,SKU-CAN00001,Ultrabook,Arc,Gold,SUP001,Australia,2016-07-22,GST_STANDARD,Box,False,True,"ultrabook designed for portable document work and video meetings, in the arc family and supplied by candle with a 24-month warranty."
PRD0002,Vela Halo 101,Smartphone,Vela,1052.85,609.27,2017,24,0.213,SKU-VEL00002,5G Smartphone,Atlas,Graphite,SUP002,Malaysia,2017-10-02,GST_STANDARD,Protective case,True,True,"5g smartphone designed for daily communication and navigation, in the atlas family and supplied by vela with a 24-month warranty."
PRD0003,Candle Quest 102,Tablet,Candle,342.16,229.52,2013,24,0.558,SKU-CAN00003,Productivity Tablet,Bloom,Red,SUP003,China,2013-05-16,GST_STANDARD,Recycled box,True,True,"productivity tablet designed for reading, annotation and handwritten notes, in the bloom family and supplied by candle with a 24-month warranty."
PRD0004,Vela Wave 103,Home Entertainment,Vela,3297.7,1592.15,2016,24,7.795,SKU-VEL00004,Smart Display,Core,Black,SUP004,Japan,2016-08-18,GST_STANDARD,Box,True,True,"smart display designed for shared film and television viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0005,Candle Edge 104,Audio,Candle,793.64,532.39,2017,12,0.35,SKU-CAN00005,Wireless Audio,Edge,Graphite,SUP005,China,2017-11-06,GST_STANDARD,Protective case,True,True,"wireless audio designed for commuting and spoken-content listening, in the edge family and supplied by candle with a 12-month warranty."
PRD0006,Vela Nova 105,Smart Home,Vela,35.37,21.33,2013,12,0.413,SKU-VEL00006,Home Automation,Echo,Silver,SUP006,Australia,2013-02-12,GST_STANDARD,Protective case,True,True,"home automation designed for app-controlled room lighting, in the echo family and supplied by vela with a 12-month warranty."
PRD0007,Candle Shift 106,Gaming,Candle,1146.82,661.33,2012,24,1.12,SKU-CAN00007,Gaming Hardware,Flux,Blue,SUP007,Australia,2012-03-27,GST_STANDARD,Recycled box,True,True,"gaming hardware designed for long desktop gaming sessions, in the flux family and supplied by candle with a 24-month warranty."
PRD0008,Vela Atlas 107,Wearable,Vela,205.21,118.64,2017,12,0.139,SKU-VEL00008,Health Wearable,Halo,Red,SUP008,China,2017-04-15,GST_STANDARD,Recycled box,True,False,"health wearable designed for daily activity and sleep tracking, in the halo family and supplied by vela with a 12-month warranty."
PRD0009,Candle Flux 108,Networking,Candle,354.96,257.19,2013,24,0.721,SKU-CAN00009,Connected Network,Lumen,Blue,SUP009,Korea,2013-12-12,GST_STANDARD,Box,True,True,"connected network designed for home-office wireless coverage, in the lumen family and supplied by candle with a 24-month warranty."
PRD0010,Vela Pulse 109,Accessory,Vela,39.45,24.64,2015,12,0.206,SKU-VEL00010,Mobile Accessory,Nova,Red,SUP010,Malaysia,2015-01-22,GST_STANDARD,Protective case,True,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the nova family and supplied by vela with a 12-month warranty."
PRD0011,Candle Vista 110,Laptop,Candle,2618.24,1729.77,2014,24,1.995,SKU-CAN00011,Ultrabook,Orbit,Graphite,SUP011,China,2014-04-24,GST_STANDARD,Protective case,True,True,"ultrabook designed for study, research and note taking, in the orbit family and supplied by candle with a 24-month warranty."
PRD0012,Vela Core 111,Smartphone,Vela,1122.89,603.62,2014,24,0.266,SKU-VEL00012,5G Smartphone,Pulse,Silver,SUP012,China,2014-03-22,GST_STANDARD,Recycled box,False,True,"5g smartphone designed for mobile photography and messaging, in the pulse family and supplied by vela with a 24-month warranty."
PRD0013,Candle Lumen 112,Tablet,Candle,1361.97,819.89,2014,24,0.79,SKU-CAN00013,Productivity Tablet,Quest,Green,SUP013,China,2014-08-08,GST_STANDARD,Recycled box,True,True,"productivity tablet designed for portable media and video calls, in the quest family and supplied by candle with a 24-month warranty."
PRD0014,Vela Ridge 113,Home Entertainment,Vela,2897.37,1631.48,2013,24,8.065,SKU-VEL00014,Smart Display,Ridge,Green,SUP014,Australia,2013-09-14,GST_STANDARD,Box,True,False,"smart display designed for music and spoken-content playback, in the ridge family and supplied by vela with a 24-month warranty."
PRD0015,Candle Arc 114,Audio,Candle,624.09,304.16,2015,12,0.461,SKU-CAN00015,Wireless Audio,Shift,Red,SUP015,Vietnam,2015-03-25,GST_STANDARD,Recycled box,True,True,"wireless audio designed for music during focused desk work, in the shift family and supplied by candle with a 12-month warranty."
PRD0016,Vela Echo 115,Smart Home,Vela,346.08,201.6,2016,12,0.366,SKU-VEL00016,Home Automation,Spark,Blue,SUP016,China,2016-11-01,GST_STANDARD,Recycled box,True,True,"home automation designed for scheduled control of a household power outlet, in the spark family and supplied by vela with a 12-month warranty."
PRD0017,Candle Orbit 116,Gaming,Candle,1435.41,877.76,2012,24,0.871,SKU-CAN00017,Gaming Hardware,Vista,Gold,SUP017,China,2012-04-24,GST_STANDARD,Box,True,True,"gaming hardware designed for casual games in a shared room, in the vista family and supplied by candle with a 24-month warranty."
PRD0018,Vela Spark 117,Wearable,Vela,921.55,459.46,2012,12,0.156,SKU-VEL00018,Health Wearable,Wave,Blue,SUP018,Vietnam,2012-06-24,GST_STANDARD,Recycled box,False,True,"health wearable designed for walking and commute notifications, in the wave family and supplied by vela with a 12-month warranty."
PRD0019,Candle Bloom 118,Networking,Candle,353.47,174.31,2013,24,0.755,SKU-CAN00019,Connected Network,Arc,Black,SUP019,China,2013-09-18,GST_STANDARD,Box,True,True,"connected network designed for connecting several shared household devices, in the arc family and supplied by candle with a 24-month warranty."
PRD0020,Vela Halo 119,Accessory,Vela,148.97,112.14,2015,12,0.143,SKU-VEL00020,Mobile Accessory,Atlas,Silver,SUP020,Malaysia,2015-07-21,GST_STANDARD,Protective case,False,True,"mobile accessory designed for protective storage during travel, in the atlas family and supplied by vela with a 12-month warranty."
PRD0021,Candle Quest 120,Laptop,Candle,1350.17,679.49,2017,24,1.533,SKU-CAN00021,Ultrabook,Bloom,Black,SUP021,Australia,2017-05-02,GST_STANDARD,Box,True,True,"ultrabook designed for creative projects and media editing, in the bloom family and supplied by candle with a 24-month warranty."
PRD0022,Vela Wave 121,Smartphone,Vela,778.88,513.94,2016,24,0.292,SKU-VEL00022,5G Smartphone,Core,Black,SUP022,Vietnam,2016-11-18,GST_STANDARD,Recycled box,False,True,"5g smartphone designed for work calls and calendar management, in the core family and supplied by vela with a 24-month warranty."
PRD0023,Candle Edge 122,Tablet,Candle,268.14,165.99,2012,24,0.521,SKU-CAN00023,Productivity Tablet,Edge,White,SUP023,Australia,2012-12-07,GST_STANDARD,Protective case,False,True,"productivity tablet designed for field forms and client presentations, in the edge family and supplied by candle with a 24-month warranty."
PRD0024,Vela Nova 123,Home Entertainment,Vela,935.75,461.04,2012,24,7.567,SKU-VEL00024,Smart Display,Echo,Graphite,SUP024,Malaysia,2012-05-21,GST_STANDARD,Box,True,True,"smart display designed for family media streaming, in the echo family and supplied by vela with a 24-month warranty."
PRD0025,Candle Shift 124,Audio,Candle,404.64,207.32,2014,12,0.356,SKU-CAN00025,Wireless Audio,Flux,Silver,SUP025,Vietnam,2014-12-05,GST_STANDARD,Protective case,False,True,"wireless audio designed for video calls and online classes, in the flux family and supplied by candle with a 12-month warranty."
PRD0026,Vela Atlas 125,Smart Home,Vela,122.12,78.78,2017,12,0.459,SKU-VEL00026,Home Automation,Halo,Blue,SUP026,Malaysia,2017-12-25,GST_STANDARD,Box,True,True,"home automation designed for indoor temperature and humidity monitoring, in the halo family and supplied by vela with a 12-month warranty."
PRD0027,Candle Flux 126,Gaming,Candle,116.57,61.89,2017,24,1.596,SKU-CAN00027,Gaming Hardware,Lumen,Silver,SUP027,Vietnam,2017-08-25,GST_STANDARD,Box,False,True,"gaming hardware designed for competitive play and voice communication, in the lumen family and supplied by candle with a 24-month warranty."
