delivery_id,order_id,dispatch_date,promised_date,delivered_date,carrier,service_level,delivery_status,delay_days,on_time_in_full,fulfilment_hours,delivery_cost,delay_reason,promised_days,tracking_event_count,delivery_window,shipping_distance_km,signature_required,estimated_carbon_kg,delivery_note_clean
HDEL000001,HORD000001,2018-12-13,2018-12-18,2018-12-17,Direct Freight,Standard,Delivered,0,True,4,9.11,none,5,3,Morning,6.5583,True,0.531,Delivered within promise
HDEL000002,HORD000002,2018-09-23,2018-09-27,2018-09-25,DHL,Express,Delivered,0,True,68,14.1,none,4,9,Morning,4.0822,True,1.005,Delivered within promise
HDEL000003,HORD000003,2018-11-06,2018-11-11,2018-11-10,StarTrack,Standard,Delivered,0,True,34,8.5,none,5,5,Afternoon,3.6714,False,0.332,Delivered within promise
HDEL000004,HORD000004,2018-06-14,2018-06-17,2018-06-16,StarTrack,Standard,Delivered,0,True,51,12.99,none,3,8,Anytime,5.8646,True,0.533,Delivered within promise
HDEL000005,HORD000005,2018-08-17,2018-08-24,2018-08-23,AusPost,Standard,Delivered,0,True,26,9.7,none,7,9,Anytime,4.9303,True,0.461,Delivered within promise
HDEL000006,HORD000006,2018-09-17,2018-09-21,2018-09-21,AusPost,Standard,Delivered,0,True,47,8.78,none,4,4,Afternoon,4.9526,True,1.01,Delivered within promise
HDEL000007,HORD000007,2018-08-18,2018-08-22,2018-08-20,DHL,Standard,Delivered,0,True,47,10.23,none,4,7,Afternoon,5.9668,True,0.475,Delivered within promise
HDEL000008,HORD000008,2018-01-23,2018-01-29,2018-01-28,Direct Freight,Standard,Delivered,0,True,19,10.57,none,6,3,Anytime,4.9986,True,0.485,Delivered within promise
HDEL000009,HORD000009,2018-09-08,2018-09-11,2018-09-10,StarTrack,Standard,Delivered,0,True,51,9.61,none,3,5,Afternoon,4.6816,True,0.457,Delivered within promise
HDEL000010,HORD000010,2018-07-04,2018-07-09,2018-07-07,DHL,Standard,Delivered,0,True,53,12.82,none,5,8,Afternoon,5.4986,True,1.689,Delivered within promise
HDEL000011,HORD000011,2018-12-09,2018-12-15,2018-12-14,StarTrack,Standard,Delivered,0,True,46,8.28,none,6,9,Morning,6.1842,False,0.428,Delivered within promise
HDEL000012,HORD000012,2018-03-05,2018-03-10,2018-03-08,AusPost,Standard,Delivered,0,True,22,9.35,none,5,7,Afternoon,4.2024,True,0.449,Delivered within promise
HDEL000013,HORD000013,2018-01-14,2018-01-21,2018-01-20,DHL,Standard,Delivered,0,True,40,7.91,none,7,3,Afternoon,2.4147,True,1.05,Delivered within promise
HDEL000014,HORD000014,2018-09-11,2018-09-18,2018-09-16,StarTrack,Standard,Delivered,0,True,38,11.67,none,7,3,Morning,8.2845,True,0.526,Delivered within promise
HDEL000015,HORD000015,2018-04-18,2018-04-21,2018-04-21,Direct Freight,Standard,Delivered,0,True,68,8.75,none,3,5,Afternoon,4.0822,True,0.492,Delivered within promise
HDEL000016,HORD000016,2018-07-26,2018-07-29,2018-07-27,AusPost,Express,Delivered,0,True,3,24.15,none,3,4,Afternoon,4.9986,True,0.412,Delivered within promise
HDEL000017,HORD000017,2018-05-05,2018-05-11,2018-05-09,Direct Freight,Standard,Delivered,0,True,20,9.82,none,6,4,Morning,7.2396,False,0.431,Delivered within promise
HDEL000018,HORD000018,2018-01-23,2018-01-30,2018-01-28,StarTrack,Standard,Delivered,0,True,56,11.2,none,7,8,Anytime,6.7965,True,1.12,Delivered within promise
HDEL000019,HORD000019,2018-06-08,2018-06-15,2018-06-13,DHL,Standard,Delivered,0,True,19,8.52,none,7,9,Morning,1.1218,False,0.23,Delivered within promise
HDEL000020,HORD000020,2018-04-19,2018-04-24,2018-04-22,DHL,Standard,Delivered,0,True,39,12.14,none,5,6,Morning,8.0026,True,0.509,Delivered within promise
HDEL000021,HORD000021,2018-05-14,2018-05-20,2018-05-19,StarTrack,Standard,Delivered,0,True,68,8.53,none,6,8,Morning,5.5418,True,0.375,Delivered within promise
HDEL000022,HORD000022,2018-05-15,2018-05-19,2018-05-19,DHL,Standard,Delivered,0,True,27,8.55,none,4,8,Morning,4.0513,True,0.971,Delivered within promise
HDEL000023,HORD000023,2018-07-05,2018-07-11,2018-07-09,DHL,Express,Delivered,0,True,29,20.11,none,6,9,Afternoon,7.6856,True,0.459,Delivered within promise
HDEL000024,HORD000024,2018-12-22,2018-12-29,2018-12-29,StarTrack,Standard,Delivered,0,True,34,11.76,none,7,6,Afternoon,8.172,True,0.461,Delivered within promise
