order_item_id,order_id,product_id,quantity,unit_price,line_revenue
HITM0000001,HORD000001,PRD0950,1,238.05,238.05
HITM0000002,HORD000001,PRD0613,1,1377.73,1377.73
HITM0000003,HORD000001,PRD0447,1,961.68,961.68
HITM0000004,HORD000002,PRD0857,1,1044.86,1044.86
HITM0000005,HORD000002,PRD0451,2,1300.44,2600.88
HITM0000006,HORD000002,PRD0834,2,2762.83,5525.66
HITM0000007,HORD000002,PRD0010,1,39.45,39.45
HITM0000008,HORD000003,PRD0570,1,179.75,179.75
HITM0000009,HORD000003,PRD1000,1,45.04,45.04
HITM0000010,HORD000003,PRD0568,1,299.47,299.47
HITM0000011,HORD000003,PRD0372,2,330.93,661.86
HITM0000012,HORD000004,PRD0375,2,404.28,808.56
HITM0000013,HORD000004,PRD0329,1,100.62,100.62
HITM0000014,HORD000004,PRD0551,2,2253.02,4506.04
HITM0000015,HORD000005,PRD0383,1,1183.76,1183.76
HITM0000016,HORD000005,PRD0791,1,2467.42,2467.42
HITM0000017,HORD000006,PRD0625,1,122.46,122.46
HITM0000018,HORD000006,PRD0784,3,385.51,1156.53
HITM0000019,HORD000006,PRD0358,2,1045.44,2090.88
HITM0000020,HORD000006,PRD0236,1,313.33,313.33
HITM0000021,HORD000007,PRD0299,1,150.48,150.48
HITM0000022,HORD000007,PRD0331,1,2135.57,2135.57
HITM0000023,HORD000007,PRD0380,1,355.83,355.83
HITM0000024,HORD000008,PRD1000,2,45.04,90.08
HITM0000025,HORD000008,PRD0235,1,248.42,248.42
HITM0000026,HORD000008,PRD0015,1,624.09,624.09
HITM0000027,HORD000008,PRD0677,1,1000.46,1000.46
HITM0000028,HORD000009,PRD0011,1,2618.24,2618.24
HITM0000029,HORD000010,PRD0174,1,733.71,733.71
HITM0000030,HORD000010,PRD0464,1,2149.57,2149.57
HITM0000031,HORD000010,PRD0808,1,69.84,69.84
HITM0000032,HORD000010,PRD0647,2,754.04,1508.08
HITM0000033,HORD000010,PRD0358,1,1045.44,1045.44
HITM0000034,HORD000011,PRD0740,1,150.48,150.48
HITM0000035,HORD000011,PRD0840,1,102.1,102.1
HITM0000036,HORD000011,PRD0080,1,122.76,122.76
HITM0000037,HORD000011,PRD0563,1,651.72,651.72
HITM0000038,HORD000012,PRD0821,2,979.52,1959.04
HITM0000039,HORD000012,PRD0953,1,968.69,968.69
HITM0000040,HORD000012,PRD0198,1,737.1,737.1
HITM0000041,HORD000013,PRD0177,1,535.99,535.99
HITM0000042,HORD000013,PRD0475,2,357.18,714.36
HITM0000043,HORD000013,PRD0404,1,2672.02,2672.02
HITM0000044,HORD000013,PRD0858,1,363.41,363.41
HITM0000045,HORD000013,PRD0189,1,634.68,634.68
HITM0000046,HORD000014,PRD0233,1,1412.0,1412.0
HITM0000047,HORD000014,PRD0689,1,277.28,277.28
HITM0000048,HORD000014,PRD0080,1,122.76,122.76
HITM0000049,HORD000014,PRD0118,1,156.33,156.33
HITM0000050,HORD000015,PRD0006,2,35.37,70.74
HITM0000051,HORD000015,PRD0883,1,1201.31,1201.31
HITM0000052,HORD000015,PRD0345,1,752.34,752.34
HITM0000053,HORD000015,PRD0086,2,92.8,185.6
HITM0000054,HORD000015,PRD0875,1,73.21,73.21
HITM0000055,HORD000016,PRD0687,2,1174.99,2349.98
HITM0000056,HORD000017,PRD0086,1,92.8,92.8
HITM0000057,HORD000017,PRD0095,1,590.13,590.13
HITM0000058,HORD000018,PRD0399,1,1231.55,1231.55
HITM0000059,HORD000018,PRD0790,1,55.39,55.39
HITM0000060,HORD000018,PRD0999,1,892.27,892.27
HITM0000061,HORD000018,PRD0554,2,611.35,1222.7
HITM0000062,HORD000019,PRD0528,1,136.95,136.95
HITM0000063,HORD000019,PRD0330,2,51.67,103.34
HITM0000064,HORD000020,PRD0513,2,453.22,906.44
HITM0000065,HORD000020,PRD0828,1,146.02,146.02
HITM0000066,HORD000020,PRD0368,1,759.57,759.57
HITM0000067,HORD000020,PRD0089,1,561.13,561.13
HITM0000068,HORD000021,PRD0688,2,611.89,1223.78
HITM0000069,HORD000021,PRD0518,2,127.55,255.1
HITM0000070,HORD000021,PRD0706,1,377.51,377.51
HITM0000071,HORD000022,PRD0655,1,424.11,424.11
HITM0000072,HORD000022,PRD0908,1,136.87,136.87
HITM0000073,HORD000022,PRD0004,2,3297.7,6595.4
HITM0000074,HORD000022,PRD0330,1,51.67,51.67
HITM0000075,HORD000023,PRD0002,1,1052.85,1052.85
HITM0000076,HORD000023,PRD0970,1,107.81,107.81
HITM0000077,HORD000023,PRD0879,2,1459.82,2919.64
HITM0000078,HORD000024,PRD0528,1,136.95,136.95
HITM0000079,HORD000024,PRD0942,1,437.56,437.56
HITM0000080,HORD000024,PRD0650,3,297.34,892.02
HITM0000081,HORD000024,PRD0680,1,103.14,103.14
HITM0000082,HORD000024,PRD0990,1,373.88,373.88
HITM0000083,HORD000025,PRD0919,1,192.13,192.13
HITM0000084,HORD000026,PRD0057,1,2445.72,2445.72
HITM0000085,HORD000026,PRD0706,2,377.51,755.02
HITM0000086,HORD000027,PRD0460,1,289.71,289.71
HITM0000087,HORD000027,PRD0628,1,904.82,904.82
HITM0000088,HORD000027,PRD0905,1,470.11,470.11
HITM0000089,HORD000027,PRD0686,1,208.32,208.32
HITM0000090,HORD000028,PRD0037,1,873.28,873.28
HITM0000091,HORD000028,PRD0252,2,879.59,1759.18
HITM0000092,HORD000029,PRD0393,1,793.28,793.28
HITM0000093,HORD000029,PRD0635,1,576.88,576.88
HITM0000094,HORD000029,PRD0862,1,612.88,612.88
HITM0000095,HORD000030,PRD0925,1,56.69,56.69
HITM0000096,HORD000030,PRD0807,1,123.14,123.14
HITM0000097,HORD000030,PRD0309,1,621.05,621.05
HITM0000098,HORD000030,PRD0526,1,44.24,44.24
HITM0000099,HORD000031,PRD0017,1,1435.41,1435.41
HITM0000100,HORD000031,PRD0573,2,1394.74,2789.48
HITM0000101,HORD000031,PRD0716,3,120.76,362.28
HITM0000102,HORD000031,PRD0277,1,1516.37,1516.37
HITM0000103,HORD000031,PRD0610,2,167.07,334.14
HITM0000104,HORD000032,PRD0877,1,1849.07,1849.07
HITM0000105,HORD000032,PRD0515,1,1179.28,1179.28
HITM0000106,HORD000032,PRD0835,2,240.61,481.22
HITM0000107,HORD000032,PRD0799,1,114.07,114.07
HITM0000108,HORD000032,PRD0625,1,122.46,122.46
HITM0000109,HORD000033,PRD0396,1,485.87,485.87
HITM0000110,HORD000033,PRD0616,1,819.39,819.39
HITM0000111,HORD000033,PRD0996,2,440.1,880.2
HITM0000112,HORD000034,PRD0891,1,2138.63,2138.63
HITM0000113,HORD000034,PRD0093,1,401.55,401.55
HITM0000114,HORD000035,PRD0660,1,89.27,89.27
HITM0000115,HORD000035,PRD0671,1,926.06,926.06
HITM0000116,HORD000035,PRD0895,2,567.08,1134.16
HITM0000117,HORD000036,PRD0619,1,238.4,238.4
HITM0000118,HORD000036,PRD0491,1,2056.04,2056.04
HITM0000119,HORD000037,PRD0335,1,235.04,235.04
HITM0000120,HORD000037,PRD0448,2,1005.39,2010.78
HITM0000121,HORD000037,PRD0996,1,440.1,440.1
HITM0000122,HORD000038,PRD0300,2,243.64,487.28
HITM0000123,HORD000038,PRD0275,1,394.33,394.33
HITM0000124,HORD000038,PRD0555,1,955.38,955.38
HITM0000125,HORD000039,PRD0674,2,2519.21,5038.42
HITM0000126,HORD000039,PRD0855,1,204.55,204.55
HITM0000127,HORD000039,PRD0044,2,649.62,1299.24
HITM0000128,HORD000040,PRD0868,1,594.16,594.16
HITM0000129,HORD000040,PRD0424,1,4001.95,4001.95
HITM0000130,HORD000041,PRD0988,1,721.76,721.76
HITM0000131,HORD000041,PRD0089,1,561.13,561.13
HITM0000132,HORD000041,PRD0870,2,360.59,721.18
HITM0000133,HORD000042,PRD0376,1,811.77,811.77
HITM0000134,HORD000042,PRD0589,1,824.97,824.97
HITM0000135,HORD000042,PRD0296,2,122.37,244.74
HITM0000136,HORD000042,PRD0328,2,650.32,1300.64
HITM0000137,HORD000043,PRD0786,1,326.86,326.86
HITM0000138,HORD000043,PRD0252,1,879.59,879.59
HITM0000139,HORD000043,PRD0490,2,63.94,127.88
HITM0000140,HORD000044,PRD0283,1,405.7,405.7
HITM0000141,HORD000044,PRD0116,1,328.2,328.2
HITM0000142,HORD000044,PRD0787,1,1650.81,1650.81
HITM0000143,HORD000045,PRD0276,1,530.49,530.49
HITM0000144,HORD000045,PRD0974,1,1232.06,1232.06
HITM0000145,HORD000045,PRD0895,2,567.08,1134.16
HITM0000146,HORD000045,PRD0455,1,243.16,243.16
HITM0000147,HORD000046,PRD0768,1,73.54,73.54
HITM0000148,HORD000046,PRD0524,1,782.83,782.83
HITM0000149,HORD000046,PRD0090,3,136.64,409.92
HITM0000150,HORD000046,PRD0625,1,122.46,122.46
HITM0000151,HORD000047,PRD0131,2,2191.15,4382.3
HITM0000152,HORD000047,PRD0221,1,2212.0,2212.0
HITM0000153,HORD000047,PRD0859,1,664.51,664.51
HITM0000154,HORD000047,PRD0991,1,2498.97,2498.97
HITM0000155,HORD000047,PRD0325,1,607.53,607.53
HITM0000156,HORD000048,PRD0340,1,42.57,42.57
HITM0000157,HORD000048,PRD0853,1,1167.89,1167.89
HITM0000158,HORD000048,PRD0535,1,878.27,878.27
HITM0000159,HORD000049,PRD0398,1,341.64,341.64
HITM0000160,HORD000049,PRD0268,1,226.89,226.89
HITM0000161,HORD000050,PRD0689,1,277.28,277.28
HITM0000162,HORD000051,PRD0299,3,150.48,451.44
HITM0000163,HORD000051,PRD0626,1,139.26,139.26
HITM0000164,HORD000051,PRD0803,2,671.68,1343.36
HITM0000165,HORD000052,PRD0628,1,904.82,904.82
HITM0000166,HORD000052,PRD0494,1,2689.23,2689.23
HITM0000167,HORD000052,PRD0545,1,1132.56,1132.56
HITM0000168,HORD000052,PRD0860,3,397.97,1193.91
HITM0000169,HORD000053,PRD0575,3,996.56,2989.68
HITM0000170,HORD000053,PRD0927,1,138.39,138.39
HITM0000171,HORD000053,PRD0602,1,1660.35,1660.35
HITM0000172,HORD000053,PRD0966,2,706.39,1412.78
HITM0000173,HORD000054,PRD0608,1,313.58,313.58
HITM0000174,HORD000054,PRD0056,2,437.03,874.06
HITM0000175,HORD000054,PRD0510,1,112.56,112.56
HITM0000176,HORD000054,PRD0999,1,892.27,892.27
HITM0000177,HORD000055,PRD0807,1,123.14,123.14
HITM0000178,HORD000055,PRD0097,1,458.08,458.08
HITM0000179,HORD000055,PRD0398,1,341.64,341.64
HITM0000180,HORD000056,PRD0435,2,676.32,1352.64
HITM0000181,HORD000056,PRD0295,1,607.48,607.48
HITM0000182,HORD000056,PRD0032,1,742.08,742.08
HITM0000183,HORD000056,PRD0811,2,3124.99,6249.98
HITM0000184,HORD000056,PRD0088,2,141.39,282.78
HITM0000185,HORD000057,PRD0836,2,610.89,1221.78
HITM0000186,HORD000057,PRD0519,1,268.64,268.64
HITM0000187,HORD000057,PRD0558,2,1004.64,2009.28
HITM0000188,HORD000057,PRD0830,1,146.02,146.02
HITM0000189,HORD000057,PRD0688,1,611.89,611.89
HITM0000190,HORD000058,PRD0809,1,1365.76,1365.76
HITM0000191,HORD000058,PRD0743,2,939.8,1879.6
HITM0000192,HORD000058,PRD0730,1,388.14,388.14
HITM0000193,HORD000058,PRD0155,1,673.32,673.32
HITM0000194,HORD000059,PRD0267,1,2030.91,2030.91
HITM0000195,HORD000059,PRD0977,1,327.77,327.77
HITM0000196,HORD000059,PRD0270,1,218.48,218.48
HITM0000197,HORD000059,PRD0203,2,489.43,978.86
HITM0000198,HORD000060,PRD0279,1,1189.02,1189.02
HITM0000199,HORD000060,PRD0496,1,519.08,519.08
HITM0000200,HORD000060,PRD0138,1,99.85,99.85
HITM0000201,HORD000061,PRD0964,1,887.89,887.89
HITM0000202,HORD000061,PRD0190,1,34.34,34.34
HITM0000203,HORD000062,PRD0565,1,515.91,515.91
HITM0000204,HORD000062,PRD0694,1,1978.51,1978.51
HITM0000205,HORD000062,PRD0866,1,369.1,369.1
HITM0000206,HORD000063,PRD0261,1,3026.48,3026.48
HITM0000207,HORD000063,PRD0249,1,1215.99,1215.99
HITM0000208,HORD000064,PRD0188,1,861.47,861.47
HITM0000209,HORD000064,PRD0175,1,340.25,340.25
HITM0000210,HORD000065,PRD0953,3,968.69,2906.07
HITM0000211,HORD000065,PRD0558,2,1004.64,2009.28
HITM0000212,HORD000066,PRD0369,3,446.88,1340.64
HITM0000213,HORD000066,PRD0336,1,110.53,110.53
HITM0000214,HORD000066,PRD0230,1,34.01,34.01
HITM0000215,HORD000067,PRD0689,1,277.28,277.28
HITM0000216,HORD000067,PRD0156,1,115.73,115.73
HITM0000217,HORD000068,PRD0440,2,112.71,225.42
HITM0000218,HORD000068,PRD0250,3,329.47,988.41
HITM0000219,HORD000069,PRD0024,2,935.75,1871.5
HITM0000220,HORD000069,PRD0530,1,220.26,220.26
HITM0000221,HORD000069,PRD0160,1,21.4,21.4
HITM0000222,HORD000069,PRD0641,1,2668.96,2668.96
HITM0000223,HORD000070,PRD0481,2,1805.28,3610.56
HITM0000224,HORD000070,PRD0608,1,313.58,313.58
HITM0000225,HORD000071,PRD0795,1,574.53,574.53
HITM0000226,HORD000071,PRD0626,1,139.26,139.26
HITM0000227,HORD000072,PRD0480,1,168.51,168.51
HITM0000228,HORD000072,PRD0847,1,1756.67,1756.67
HITM0000229,HORD000073,PRD0432,1,1637.76,1637.76
HITM0000230,HORD000073,PRD0860,2,397.97,795.94
HITM0000231,HORD000073,PRD0745,1,494.7,494.7
HITM0000232,HORD000073,PRD0481,2,1805.28,3610.56
HITM0000233,HORD000074,PRD0158,1,224.45,224.45
HITM0000234,HORD000074,PRD0090,3,136.64,409.92
HITM0000235,HORD000075,PRD0149,1,1414.32,1414.32
HITM0000236,HORD000075,PRD0985,1,77.36,77.36
HITM0000237,HORD000075,PRD0568,2,299.47,598.94
HITM0000238,HORD000076,PRD0675,1,625.06,625.06
HITM0000239,HORD000076,PRD0329,2,100.62,201.24
HITM0000240,HORD000076,PRD0815,2,962.19,1924.38
HITM0000241,HORD000077,PRD0979,2,1067.2,2134.4
HITM0000242,HORD000077,PRD0287,3,2154.08,6462.24
