order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD000001,SRC-005-H-000001,CUS00480,2018-12-13 11:10:00,Web,PayPal,AUD,Bakers,Completed,2577.46,12.59,B1SAVE-10,15,234.31,2203.43,Summer,False,-37.753062,145.014718,Mobile,Referral,call before delivery,B1SAVE-10
HORD000002,SRC-005-H-000002,CUS00489,2018-09-20 14:30:00,Web,Bank Transfer,AUD,Bakers,Completed,9210.85,20.98,B1SAVE-11,20,837.35,7389.66,Spring,True,-37.773452,144.990794,Mobile,Organic,call before delivery,B1SAVE-11
HORD000003,SRC-005-H-000003,CUS00192,2018-11-05 12:03:00,Web,Gift Card,AUD,Thompson,Completed,1186.12,10.18,B1SAVE-12,25,107.83,899.77,Spring,False,-37.789591,144.917189,Tablet,Store,call before delivery,B1SAVE-12
HORD000004,SRC-005-H-000004,CUS00064,2018-06-12 18:16:00,Store,Card,AUD,Thompson,Completed,5415.22,14.98,NaN,10,492.29,4888.68,Winter,False,-37.765475,144.917284,Desktop,Social,gift purchase for a family member,NaN
HORD000005,SRC-005-H-000005,CUS00002,2018-08-16 11:46:00,Store,Bank Transfer,AUD,Bakers,Completed,3651.18,14.19,B1SAVE-14,15,331.93,3117.69,Winter,False,-37.853585,145.005518,Desktop,Paid Search,gift purchase for a family member,B1SAVE-14
HORD000006,SRC-005-H-000006,CUS00183,2018-09-15 11:39:00,Web,PayPal,AUD,Thompson,Completed,3683.2,11.12,NaN,10,334.84,3326.0,Spring,False,-37.856484,144.936908,Mobile,Paid Search,please leave at reception,NaN
HORD000007,SRC-005-H-000007,CUS00071,2018-08-16 19:30:00,Web,Card,AUD,Bakers,Completed,2641.88,15.07,B1SAVE-16,15,240.17,2260.67,Winter,False,-37.812614,145.063073,Desktop,Store,please leave at reception,B1SAVE-16
HORD000008,SRC-005-H-000008,CUS00124,2018-01-22 11:04:00,Store,Bank Transfer,AUD,Nickolson,Completed,1963.05,11.5,NaN,5,178.46,1876.4,Summer,False,-37.862004,144.95476,Desktop,Store,please use minimal packaging,NaN
HORD000009,SRC-005-H-000009,CUS00393,2018-09-06 18:45:00,Web,Bank Transfer,AUD,Nickolson,Completed,2618.24,10.92,B1SAVE-18,20,238.02,2105.51,Spring,False,-37.857054,144.991244,Desktop,Social,gift purchase for a family member,B1SAVE-18
HORD000010,SRC-005-H-000010,CUS00492,2018-07-02 12:33:00,Web,PayPal,AUD,Bakers,Completed,5506.64,14.67,NaN,5,500.6,5245.98,Winter,False,-37.788973,145.051877,Desktop,Social,no special instruction,NaN
HORD000011,SRC-005-H-000011,CUS00103,2018-12-07 10:08:00,Store,Gift Card,AUD,Thompson,Completed,1027.06,12.33,NaN,5,93.37,988.04,Summer,False,-37.8655,144.925049,Desktop,Referral,gift purchase for a family member,NaN
HORD000012,SRC-005-H-000012,CUS00221,2018-03-04 19:39:00,Store,Card,AUD,Bakers,Completed,3664.83,10.28,B1SAVE-21,25,333.17,2758.9,Autumn,False,-37.773869,145.009274,Desktop,Social,please leave at reception,B1SAVE-21
HORD000013,SRC-005-H-000013,CUS00259,2018-01-12 14:01:00,Store,Card,AUD,Thompson,Completed,4920.46,9.69,NaN,5,447.31,4684.13,Summer,False,-37.833293,144.938445,Tablet,Referral,no special instruction,NaN
HORD000014,SRC-005-H-000014,CUS00370,2018-09-09 11:00:00,Store,Card,AUD,Thompson,Completed,1968.37,13.55,B1SAVE-23,15,178.94,1686.66,Spring,False,-37.742769,144.914461,Mobile,Paid Search,gift purchase for a family member,B1SAVE-23
HORD000015,SRC-005-H-000015,CUS00489,2018-04-15 15:35:00,Mobile,Card,AUD,Bakers,Completed,2283.2,10.18,NaN,5,207.56,2179.22,Autumn,False,-37.773452,144.990794,Mobile,Organic,please leave at reception,NaN
HORD000016,SRC-005-H-000016,CUS00124,2018-07-26 17:22:00,Web,Gift Card,AUD,Nickolson,Completed,2349.98,27.25,NaN,5,213.63,2259.73,Winter,True,-37.862004,144.95476,Desktop,Store,gift purchase for a family member,NaN
HORD000017,SRC-005-H-000017,CUS00057,2018-05-04 12:36:00,Mobile,Gift Card,AUD,Thompson,Completed,682.93,12.65,B1SAVE-26,20,62.08,558.99,Autumn,False,-37.757516,144.903298,Mobile,Store,please leave at reception,B1SAVE-26
HORD000018,SRC-005-H-000018,CUS00132,2018-01-21 09:41:00,Store,Bank Transfer,AUD,Bakers,Completed,3401.91,12.76,NaN,10,309.26,3074.48,Summer,False,-37.770898,145.054683,Mobile,Store,no special instruction,NaN
HORD000019,SRC-005-H-000019,CUS00151,2018-06-07 13:41:00,Web,Bank Transfer,AUD,Nickolson,Completed,240.29,10.95,NaN,0,21.84,251.24,Winter,False,-37.827254,144.976104,Desktop,Paid Search,please leave at reception,NaN
HORD000020,SRC-005-H-000020,CUS00408,2018-04-17 14:57:00,Store,Bank Transfer,AUD,Thompson,Completed,2373.16,13.24,B1SAVE-29,20,215.74,1911.77,Autumn,False,-37.861363,144.879962,Mobile,Social,no special instruction,B1SAVE-29
HORD000021,SRC-005-H-000021,CUS00360,2018-05-11 14:11:00,Mobile,Bank Transfer,AUD,Thompson,Completed,1856.39,11.32,NaN,10,168.76,1682.07,Autumn,False,-37.789509,144.891221,Desktop,Paid Search,please use minimal packaging,NaN
HORD000022,SRC-005-H-000022,CUS00361,2018-05-14 11:27:00,Store,Card,AUD,Nickolson,Completed,7208.05,10.16,B1SAVE-31,20,655.28,5776.6,Autumn,False,-37.854471,144.961508,Tablet,Referral,please leave at reception,B1SAVE-31
HORD000023,SRC-005-H-000023,CUS00439,2018-07-04 10:33:00,Web,Card,AUD,Nickolson,Completed,4080.3,29.53,B1SAVE-32,15,370.94,3497.79,Winter,True,-37.88606,144.950518,Tablet,Paid Search,please use minimal packaging,B1SAVE-32
HORD000024,SRC-005-H-000024,CUS00371,2018-12-21 13:52:00,Store,Card,AUD,Thompson,Completed,1943.55,13.72,B1SAVE-33,25,176.69,1471.38,Summer,False,-37.74409,144.913655,Mobile,Paid Search,call before delivery,B1SAVE-33
HORD000025,SRC-005-H-000025,CUS00274,2018-02-25 17:56:00,Store,Card,AUD,Thompson,Completed,192.13,10.6,NaN,10,17.47,183.52,Summer,False,-37.780012,144.938137,Desktop,Referral,gift purchase for a family member,NaN
HORD000026,SRC-005-H-000026,CUS00309,2018-02-12 11:38:00,Store,PayPal,AUD,Thompson,Completed,3200.74,14.82,NaN,0,290.98,3215.56,Summer,False,-37.74454,144.877462,Tablet,Social,call before delivery,NaN
HORD000027,SRC-005-H-000027,CUS00458,2018-07-29 13:20:00,Web,Card,AUD,Bakers,Completed,1872.96,10.65,B1SAVE-36,20,170.27,1509.02,Winter,False,-37.805317,145.001656,Mobile,Paid Search,gift purchase for a family member,B1SAVE-36
HORD000028,SRC-005-H-000028,CUS00322,2018-03-14 19:52:00,Web,PayPal,AUD,Bakers,Completed,2632.46,9.94,NaN,0,239.31,2642.4,Autumn,False,-37.839849,145.015446,Desktop,Social,gift purchase for a family member,NaN
HORD000029,SRC-005-H-000029,CUS00172,2018-08-23 19:36:00,Store,Bank Transfer,AUD,Nickolson,Completed,1983.04,15.82,B1SAVE-38,25,180.28,1503.1,Winter,False,-37.873078,145.006004,Mobile,Organic,please leave at reception,B1SAVE-38
HORD000030,SRC-005-H-000030,CUS00372,2018-04-28 16:45:00,Store,Bank Transfer,AUD,Bakers,Completed,845.12,12.09,NaN,5,76.83,814.95,Autumn,False,-37.751853,145.004934,Mobile,Referral,gift purchase for a family member,NaN
HORD000031,SRC-005-H-000031,CUS00250,2018-08-11 09:35:00,Web,Bank Transfer,AUD,Nickolson,Completed,6437.68,15.72,B1SAVE-40,15,585.24,5487.75,Winter,False,-37.875255,144.996415,Desktop,Organic,please leave at reception,B1SAVE-40
HORD000032,SRC-005-H-000032,CUS00034,2018-08-02 21:09:00,Mobile,PayPal,AUD,Thompson,Completed,3746.1,16.12,B1SAVE-41,20,340.55,3013.0,Winter,False,-37.754163,144.911876,Mobile,Store,call before delivery,B1SAVE-41
HORD000033,SRC-005-H-000033,CUS00106,2018-10-27 08:24:00,Web,Card,AUD,Bakers,Completed,2185.46,13.38,NaN,5,198.68,2089.57,Spring,False,-37.867068,145.051714,Desktop,Social,gift purchase for a family member,NaN
HORD000034,SRC-005-H-000034,CUS00038,2018-02-25 09:56:00,Store,Card,AUD,Thompson,Completed,2540.18,11.13,NaN,0,230.93,2551.31,Summer,False,-37.782243,144.913777,Mobile,Paid Search,please use minimal packaging,NaN
HORD000035,SRC-005-H-000035,CUS00121,2018-01-13 20:33:00,Store,Gift Card,AUD,Bakers,Completed,2149.49,10.45,B1SAVE-44,20,195.41,1730.04,Summer,False,-37.779182,145.003213,Tablet,Store,please leave at reception,B1SAVE-44
HORD000036,SRC-005-H-000036,CUS00063,2018-10-13 18:58:00,Store,Bank Transfer,AUD,Bakers,Completed,2294.44,9.91,NaN,10,208.59,2074.91,Spring,False,-37.814578,145.032414,Desktop,Organic,no special instruction,NaN
HORD000037,SRC-005-H-000037,CUS00382,2018-01-20 21:04:00,Store,PayPal,AUD,Nickolson,Completed,2685.92,11.99,B1SAVE-46,15,244.17,2295.02,Summer,False,-37.869801,144.973942,Mobile,Paid Search,call before delivery,B1SAVE-46
HORD000038,SRC-005-H-000038,CUS00191,2018-09-03 12:50:00,Web,Gift Card,AUD,Bakers,Completed,1836.99,11.18,NaN,10,167.0,1664.47,Spring,False,-37.849114,145.024262,Desktop,Paid Search,please leave at reception,NaN
