customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00001,2016-03-17,Bronze,Value,25-34,Store,St Kilda,6,2464.59,True,3182,VIC,Australia,en,Store,Active,Tablet,example.net,5+,Quarterly
CUS00002,2014-04-22,Platinum,Small Business,55+,Web,Northcote,7,5511.58,True,3070,VIC,Australia,pl,Paid Search,Active,Desktop,mail.test,5+,Essential only
CUS00003,2013-01-26,Silver,Value,35-44,Web,Northcote,13,1718.12,True,3070,VIC,Australia,ar,Social,Active,Mobile,example.net,5+,Monthly
CUS00004,2013-12-13,Bronze,Small Business,55+,Web,Richmond,1,331.64,False,3121,VIC,Australia,en,Referral,Review,Desktop,example.net,3-4,Quarterly
CUS00005,2014-05-01,Bronze,Mainstream,25-34,Web,Brunswick,20,7482.57,True,3056,VIC,Australia,fr,Referral,Active,Mobile,mail.test,2,Weekly
CUS00006,2016-07-23,Silver,Value,25-34,Store,Northcote,5,4189.48,True,3070,VIC,Australia,ar,Referral,Active,Tablet,inbox.example,5+,Monthly
CUS00007,2017-04-26,Bronze,Small Business,35-44,Store,Melbourne,12,4003.61,True,3000,VIC,Australia,de,Paid Search,Dormant,Tablet,inbox.example,3-4,Weekly
CUS00008,2014-04-12,Silver,Small Business,45-54,Mobile,Northcote,15,12560.55,True,3070,VIC,Australia,fr,Referral,Active,Mobile,mail.test,3-4,Quarterly
CUS00009,2013-04-22,Gold,Small Business,55+,Store,Carlton,21,17748.23,True,3053,VIC,Australia,ar,Store,Active,Desktop,inbox.example,5+,Quarterly
CUS00010,2015-01-18,Bronze,Mainstream,45-54,Store,Hawthorn,6,3720.88,True,3122,VIC,Australia,ru,Organic,Active,Mobile,inbox.example,5+,Essential only
CUS00011,2013-09-12,Silver,Small Business,45-54,Store,Brunswick,7,1182.84,False,3056,VIC,Australia,pt,Organic,Active,Desktop,example.net,3-4,Weekly
CUS00012,2014-11-19,Silver,Premium,25-34,Mobile,Carlton,6,2920.89,True,3053,VIC,Australia,en,Organic,Dormant,Tablet,mail.test,1,Weekly
CUS00013,2013-02-02,Gold,Value,45-54,Web,Southbank,7,4402.62,True,3006,VIC,Australia,ru,Paid Search,Active,Mobile,example.net,5+,Quarterly
CUS00014,2015-02-05,Platinum,Mainstream,45-54,Mobile,Footscray,8,2173.64,True,3011,VIC,Australia,en,Store,Active,Mobile,inbox.example,2,Monthly
